timestep,month,day,hour,minute,in_fault,alarm,flow_ratio,temp_error,temp_error_2h_avg,t_supply,S_stuck_closed,S_stuck_open,S_supply_curve,state,diagnosed_fault
1079,10,8,11,50,0,0,0.1165651939199006,-2.2296617014916364e-05,-0.0001029788734519,59.99999999999999,False,False,False,not_alarmed,
1080,10,8,11,60,0,0,0.0797514167654561,-1.4378475455600892e-05,-8.945153785096711e-05,59.99999999999999,False,False,False,not_alarmed,
1081,10,8,12,10,0,0,0.0493389864806836,-6.208683984709751e-06,-7.10218247939783e-05,60.00000000000001,False,False,False,not_alarmed,
1194,10,9,6,60,0,0,0.923193022571198,-0.0006313856900312,-0.1749169422489096,60.0,False,False,False,not_alarmed,
1195,10,9,7,10,0,0,0.8723793534468596,-0.0002285022976771,-0.0494705698522484,60.0,False,False,False,not_alarmed,
1196,10,9,7,20,0,0,0.8597813586593235,-0.0001782851577125,-0.0040066478115233,60.00000000000001,False,False,False,not_alarmed,
1197,10,9,7,30,0,0,0.8510830509737063,-0.0001844284683336,-0.000545556511352,60.0,False,False,False,not_alarmed,
1198,10,9,7,40,0,0,0.8428229815050794,-0.0002007159789378,-0.0004079122301166,60.0,False,False,False,not_alarmed,
1199,10,9,7,50,0,0,0.8346407428119448,-0.0002198357194806,-0.0003852801418462,60.0,False,False,False,not_alarmed,
1200,10,9,7,60,0,0,0.8261197147478543,-0.0002415030545748,-0.0003796687971175,60.0,False,False,False,not_alarmed,
1201,10,9,8,10,0,0,0.6830192069425686,-0.0002213140047686,-0.0003616336730623,60.0,False,False,False,not_alarmed,
1202,10,9,8,20,0,0,0.6496656864793073,-0.0003009179959398,-0.00034462704079,60.00000000000001,False,False,False,not_alarmed,
1203,10,9,8,30,0,0,0.6250704338128419,-0.0003923674082813,-0.0003318640743265,60.0,False,False,False,not_alarmed,
1204,10,9,8,40,0,0,0.6034396930768892,-0.0001723171196417,-0.0002980759284728,60.0,False,False,False,not_alarmed,
1205,10,9,8,50,0,0,0.582298638443203,-0.0001743872653428,-0.0002621633467268,60.0,False,False,False,not_alarmed,
1206,10,9,8,60,0,0,0.5619889351425331,-0.0002153333727683,-0.0002274923202882,60.0,False,False,False,not_alarmed,
1207,10,9,9,10,0,0,0.5292347833714731,-0.0003076418896199,-0.0002340872862835,60.0,False,False,False,not_alarmed,
1208,10,9,9,20,0,0,0.4961952522045881,-0.0001738780100417,-0.0002337200239776,59.99999999999999,False,False,False,not_alarmed,
1209,10,9,9,35,0,0,0.4619716380982954,-0.0001316243254265,-0.0002293196787353,60.0,False,False,False,not_alarmed,
1210,10,9,9,45,0,0,0.42719700742129,-8.103760456634745e-05,-0.000219346480871,60.00000000000001,False,False,False,not_alarmed,
1211,10,9,9,55,0,0,0.3916447306213915,-5.666201854381825e-05,-0.0002057486724596,60.0,False,False,False,not_alarmed,
1212,10,9,9,65,0,0,0.3553409658133463,-9.312759771518132e-05,-0.0001933840510546,59.99999999999999,False,False,False,not_alarmed,
1213,10,9,10,15,0,0,0.2507756981505686,-4.7017570146579146e-05,-0.0001788593481695,59.99999999999999,False,False,False,not_alarmed,
1214,10,9,10,25,0,0,0.2330886550971193,-6.212906250624428e-05,-0.0001589602703833,60.0,False,False,False,not_alarmed,
1215,10,9,10,35,0,0,0.2127889509942062,-3.910318789479561e-05,-0.0001295215853511,59.99999999999999,False,False,False,not_alarmed,
1216,10,9,10,40,0,0,0.1915854904686626,-4.802256161084984e-05,-0.0001191637055152,60.00000000000001,False,False,False,not_alarmed,
1217,10,9,10,50,0,0,0.1653956908523537,-4.129474005409861e-05,-0.0001080726617412,60.00000000000001,False,False,False,not_alarmed,
1218,10,9,10,60,0,0,0.135669693784012,-3.228549529055158e-05,-9.281867195139644e-05,60.0,False,False,False,not_alarmed,
1219,10,9,11,12,0,0,0.0799052751365222,-3.176184172559715e-06,-6.744652983077988e-05,60.0,False,False,False,not_alarmed,
1272,10,9,19,60,0,0,0.52949746316195,-0.0003228112485231,5.446690642004389e-05,60.00000000000001,False,False,False,not_alarmed,
1338,10,10,6,60,0,0,0.8207503261566784,-0.0002594555871127,-0.0851913705865377,60.00000000000001,False,False,False,not_alarmed,
1339,10,10,7,13,0,0,0.7675296570031584,-0.0001782956920024,-0.0017200465740868,60.00000000000001,False,False,False,not_alarmed,
1340,10,10,7,20,0,0,0.755767602880011,-0.0004549299518075,-0.000328896955905,60.0,False,False,False,not_alarmed,
1341,10,10,7,30,0,0,0.7484090261236079,-0.0005321524758663,-0.0003619028929771,60.0,False,False,False,not_alarmed,
1342,10,10,7,40,0,0,0.7417511230617323,-0.000575299671059,-0.0003878600648971,60.0,False,False,False,not_alarmed,
1343,10,10,7,50,0,0,0.7359913156529813,-0.0001944555808748,-0.000348659505254,60.0,False,False,False,not_alarmed,
1344,10,10,7,60,0,0,0.7295716913124994,-0.0001415736784338,-0.0002954694270315,60.00000000000001,False,False,False,not_alarmed,
1345,10,10,8,10,0,0,0.5823038595607599,-0.0001677066282468,-0.000285658462185,60.00000000000001,False,False,False,not_alarmed,
1346,10,10,8,20,0,0,0.5552785821772667,-0.0002287534652651,-0.0002863460282484,60.0,False,False,False,not_alarmed,
1347,10,10,8,30,0,0,0.5374780410101949,-0.0002847048763321,-0.0002915412321694,60.0,False,False,False,not_alarmed,
1348,10,10,8,40,0,0,0.5225785953147655,-0.0003397417550701,-0.0003003319438465,59.99999999999999,False,False,False,not_alarmed,
1349,10,10,8,50,0,0,0.5094324979311017,-0.0001586631735008,-0.0002929777112976,60.00000000000001,False,False,False,not_alarmed,
1350,10,10,8,60,0,0,0.4967043389932385,-0.0001550020876024,-0.0002842732530051,60.0,False,False,False,not_alarmed,
1351,10,10,9,10,0,0,0.4794363825074001,-0.0001879635753958,-0.0002850789099545,60.0,False,False,False,not_alarmed,
1352,10,10,9,20,0,0,0.4625228566602264,-0.0002326436201904,-0.0002665550489865,60.0,False,False,False,not_alarmed,
1353,10,10,9,30,0,0,0.4461572656384913,-0.0001236348099418,-0.0002325119101594,60.00000000000001,False,False,False,not_alarmed,
1354,10,10,9,40,0,0,0.4295912475952591,-0.0001348459209005,-0.0001958074309795,60.00000000000001,False,False,False,not_alarmed,
1355,10,10,9,50,0,0,0.4134360708007623,-0.00016700579474,-0.0001935199488016,60.0,False,False,False,not_alarmed,
1356,10,10,9,60,0,0,0.3972925251959385,-0.0002092598160068,-0.000199160460266,60.0,False,False,False,not_alarmed,
1357,10,10,10,10,0,0,0.3096824326726241,-8.962134863921278e-05,-0.0001926533536321,59.99999999999999,False,False,False,not_alarmed,
1358,10,10,10,20,0,0,0.2967882977120578,-9.580540880449462e-05,-0.000181574348927,60.0,False,False,False,not_alarmed,
1359,10,10,10,30,0,0,0.2852806668555478,-0.0001168904228343,-0.0001675898111355,60.00000000000001,False,False,False,not_alarmed,
1360,10,10,10,40,0,0,0.2729652648502781,-8.126116782847248e-05,-0.0001460497621987,60.00000000000001,False,False,False,not_alarmed,
1361,10,10,10,50,0,0,0.2610888882498641,-9.546394973014571e-05,-0.0001407831602178,59.99999999999999,False,False,False,not_alarmed,
1362,10,10,10,60,0,0,0.2467318805813975,-7.19879853257055e-05,-0.0001338653183614,60.00000000000001,False,False,False,not_alarmed,
1363,10,10,11,10,0,0,0.2222383982154343,-6.671450482897967e-05,-0.0001237612291475,60.00000000000001,False,False,False,not_alarmed,
1364,10,10,11,20,0,0,0.1947799544810879,-4.70885263332832e-05,-0.0001082983046594,60.0,False,False,False,not_alarmed,
1365,10,10,11,30,0,0,0.1632819247490934,-4.323313516607641e-05,-0.0001015981650948,60.00000000000001,False,False,False,not_alarmed,
